Seller Id,Warehouse Id,Store Order Id,Order Release Id,Order Line Id,Seller Order Id,Order Id FK,Created On,Style ID,Seller SKU Code,SKU Id,Myntra SKU Code,Quantity,Size,Vendor Article Number,Brand,Style Name,Article Type,Order Status,Packet Id,Seller Packe Id,Courier Code,Order Tracking Number,Seller Warehouse Id,Cancellation Reason Id Fk,Cancellation Reason,Packed On,FMPU date,Inscanned On,Shipped On,Delivered On,Cancelled On,RTO Creation date,Lost date,Return Creation date,Final Amount,Total Mrp,Discount,Coupon Discount,Shipping Charge,Gift Charge,Tax Recovery,City,State,Zipcode
18500,29954,'125638576564281092203,7749510614,9749488352,afff979d-634d-499e-a51a-65276f314760,5093698237,46:35.0,22062266,N_YS31_Red,69777012,AHAASARS69777012,1,Onesize,N_YS31_Red,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7749510614,1376685841,flipkartlogistics,MYSC1048307913,29954,,,02:47.0,,34:15.0,39:26.0,47:06.0,,,,,782,2899,2117,0,0,0,0,Thane,MH,400614
18500,29954,'125798964362734630803,7771075762,9771053599,9cb6e369-f157-435f-84e8-61bbc0cbcbf1,5105245592,17:52.0,23231234,S_SD33 Rama,73991086,DIVISARS73991086,1,Onesize,S_SD33 Rama,DIVASTRI,DIVASTRI Floral Woven Design Zari Banarasi Saree,Sarees,C,7771075762,1384423865,flipkartlogistics,MYSP1065638746,29954,,,51:43.0,,56:47.0,03:56.0,58:30.0,,,,1/31/2024 15:35,948,4991,4043,83,0,0,0,Thane,MH,421204
18500,29954,'125738184215167353903,7763521947,9763499707,0baa4945-4892-4dd5-bdff-b99e3aa1443e,5101145633,27:50.0,22062270,N_YS31_NBlue,69777016,AHAASARS69777016,1,Onesize,N_YS31_NBlue,AA-HA!!,AA-HA!! Floral Woven Design Zari Pure Silk Saree,Sarees,C,7763521947,1381807504,flipkartlogistics,MYSP1063217173,29954,,,45:23.0,,34:42.0,42:41.0,18:26.0,,,,,898,2899,2001,0,0,0,0,Ahmed Nagar,MH,414103
18500,29954,'125638576564281092203,7749510608,9749488346,d6f08326-db58-4f72-88ad-c04e5d49a21a,5093698237,46:34.0,22062264,N_YS31_BGreen,69777010,AHAASARS69777010,1,Onesize,N_YS31_BGreen,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7749510608,1376691142,flipkartlogistics,MYSC1048309537,29954,,,09:02.0,,42:43.0,47:57.0,47:06.0,,,,,782,2899,2117,0,0,0,0,Thane,MH,400614
18500,29954,'125769803078659112503,7767772009,9767749785,8d624985-59c5-44c8-8e43-b85b46d7ba1e,5103351335,17:39.0,21131846,Marigold_Orange.,66333980,AHAASARS66333980,1,Onesize,Marigold_Orange.,AA-HA!!,AA-HA Ethnic Motifs Zari Silk Cotton Banarasi Saree,Sarees,F,,,flipkartlogistics,,29954,45,Wants to change style/color,,,,,,33:01.0,,,,3299,19999,16400,300,0,0,0,Suryapet,TG,508213
18500,29954,'125729296395237456903,7762250905,9762228665,b0562e3d-98b9-443b-bad3-a033c046b565,5100469162,46:32.0,20755036,Pal1243_Wine_M,65019412,AHAAKASS65019412,1,M,Pal1243_Wine,AA-HA!!,AA-HA!! Women Burgundy Kurta with Trousers  With Dupatta,Kurta Sets,C,7762250905,1381367146,flipkartlogistics,MYSC1051150742,29954,,,58:21.0,,03:27.0,10:14.0,08:52.0,,,,1/22/2024 19:42,1099,4999,3900,0,0,0,0,Gurgaon,HR,122001
18500,29954,'125673660863744032503,7754138503,9754116250,183926be-65da-4e6b-8a07-9cc0b9aa97c4,5096244303,13:57.0,21131862,D198_Hot Pink.,66333996,AHAASARS66333996,1,Onesize,D198_Hot Pink.,AA-HA!!,AA-HA Woven Design Zari Paithani Saree,Sarees,RTO,7754138503,1378379193,flipkartlogistics,MYSC1049315268,29954,37,RTO Cancellation,01:45.0,,57:33.0,02:45.0,,01:25.0,1/17/2024 19:01,,,1115,6199,5084,0,0,0,0,Allahabad,UP,212503
18500,29954,'125644180309576054903,7750516345,9750494086,116c51a7-67ed-4364-8c88-0ba6378880ea,5094265008,20:31.0,25334348,Yukti_Orange,81657994,DIVISARS81657994,1,Pack,Yukti_Orange,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Paithani Saree,Sarees,C,7750516345,1377487291,flipkartlogistics,MYSC1048773145,29954,,,52:10.0,,14:39.0,20:34.0,47:25.0,,,,,1019,2999,1980,102,0,0,0,Khammam,TG,507001
18500,29954,'125659839272415858301,7752583488,9752561234,ee72e8a7-fc59-427c-af3b-3b4d71b6dc05,5095380398,50:21.0,25316734,Sanskriti Pblu,81598792,DIVISARS81598792,1,Pack,Sanskriti Pblu,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Paithani Saree,Sarees,C,7752583488,1377955348,flipkartlogistics,MYSP1059759271,29954,,,57:25.0,,19:19.0,25:46.0,32:12.0,,,,,996,3435,2439,0,0,0,0,Kalyan,MH,421301
18500,29954,'125652633716583908101,7751737269,9751715014,b54e11bb-7674-4125-82aa-cf3d1d293022,5094921091,49:25.0,24361744,Sanskriti_Red,78153956,DIVISARS78153956,1,Pack,Sanskriti_Red,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Paithani Saree,Sarees,C,7751737269,1377484803,flipkartlogistics,MYSP1059319285,29954,,,47:49.0,,23:48.0,29:15.0,50:38.0,,,,,882,3675,2793,0,0,0,0,Mumbai,MH,400022
18500,29954,'125829821735251649401,7774006011,9773983881,6c8be853-f365-445d-aaa6-4f135dd04a16,5106930531,00:46.0,24361748,Sakshi_Pink,78153960,DIVISARS78153960,1,Pack,Sakshi_Pink,DIVASTRI,DIVASTRI Woven Design Zari Paithani Saree,Sarees,C,7774006011,1385582171,flipkartlogistics,MYSC1053781697,29954,,,54:11.0,,30:35.0,35:13.0,23:41.0,,,,,1065,3675,2610,0,0,0,0,Nagpur,MH,440002
18500,29954,'125816328473684327003,7772806074,9772783920,f5bc1599-1187-454b-af07-5d7e6106ba08,5106266096,31:54.0,24361746,Sakshi_PBlue,78153958,DIVISARS78153958,1,Pack,Sakshi_PBlue,DIVASTRI,DIVASTRI Woven Design Zari Paithani Saree,Sarees,C,7772806074,1384921902,flipkartlogistics,MYSP1066044577,29954,,,43:24.0,,02:24.0,09:54.0,33:56.0,,,,,1065,3675,2610,0,0,0,0,Belgaum,KA,590006
18500,29954,'125617792087114315203,7746993411,9746971147,aa56950a-2c12-43e4-85ee-9ae694d680b0,5092326776,02:30.0,21131848,D325_Hot Pink.,66333982,AHAASARS66333982,1,Onesize,D325_Hot Pink.,AA-HA!!,AA-HA Ethnic Motifs Zari Paithani Saree,Sarees,C,7746993411,1375886513,flipkartlogistics,MYSP1057931862,29954,,,52:17.0,,22:35.0,27:10.0,20:58.0,,,,,1115,6199,5084,0,0,0,0,Kolkata,WB,700034
18500,29954,'125659238547485383003,7752486199,9752463944,097e8fce-75fc-4a34-b1e9-aef02bccab86,5095322125,10:13.0,23461596,DVS HP Red,74837740,DIVISARS74837740,1,Onesize,DVS HP Red,DIVASTRI,DIVASTRI Ethnic Motifs Woven Design Zari Silk Cotton Banarasi Saree,Sarees,C,7752486199,1377956911,flipkartlogistics,MYSC1049057209,29954,,,00:29.0,,06:52.0,11:35.0,09:48.0,,,,1/13/2024 15:35,1199,7495,6296,0,0,0,0,Lucknow,UP,226012
18500,29954,'125857031386667151801,7776817798,9776795701,4f738b62-884d-4fb7-9df8-d03eb481fc23,5108527596,35:45.0,23231230,S_SD33 Wine,73991082,DIVISARS73991082,1,Onesize,S_SD33 Wine,DIVASTRI,DIVASTRI Floral Woven Design Zari Banarasi Saree,Sarees,SH,7776817798,1386520818,flipkartlogistics,MYSP1067562705,29954,,,00:41.0,,40:02.0,45:53.0,,,,,,948,4991,4043,0,0,0,0,Patiala,PB,147001
18500,29954,'125696288557585454301,7757285148,9757262901,61f29e4f-d1ba-40f1-be6b-c5f80d739565,5097934553,05:14.0,22062264,N_YS31_BGreen,69777010,AHAASARS69777010,1,Onesize,N_YS31_BGreen,AA-HA!!,AA-HA!! Ethnic Motifs Woven Design Zari Pure Silk Saree,Sarees,C,7757285148,1379489629,flipkartlogistics,MYSP1061166961,29954,,,50:34.0,,03:16.0,10:23.0,47:08.0,,,,1/18/2024 18:13,2870,2899,29,211,0,0,0,Bhopal,MP,462023
